jim_hemerling_5_ways_to_lead_in_an_era_of_constant_change,https://www.ted.com/talks/jim_hemerling_5_ways_to_lead_in_an_era_of_constant_change?language=ko,2016-11-02 02:20:21
pico_iyer_the_beauty_of_what_we_ll_never_know,https://www.ted.com/talks/pico_iyer_the_beauty_of_what_we_ll_never_know?language=ko,2016-11-02 02:20:24
rainn_wilson_ideas_worth_dating,https://www.ted.com/talks/rainn_wilson_ideas_worth_dating?language=ko,2016-11-02 02:20:27
ellen_jorgensen_what_you_need_to_know_about_crispr,https://www.ted.com/talks/ellen_jorgensen_what_you_need_to_know_about_crispr?language=ko,2016-11-02 02:20:30
helen_fisher_technology_hasn_t_changed_love_here_s_why,https://www.ted.com/talks/helen_fisher_technology_hasn_t_changed_love_here_s_why?language=ko,2016-11-02 02:20:33
sam_harris_can_we_build_ai_without_losing_control_over_it,https://www.ted.com/talks/sam_harris_can_we_build_ai_without_losing_control_over_it?language=ko,2016-11-02 02:20:36
camille_a_brown_a_visual_history_of_social_dance_in_25_moves,https://www.ted.com/talks/camille_a_brown_a_visual_history_of_social_dance_in_25_moves?language=ko,2016-11-02 02:20:39
j_d_vance_america_s_forgotten_working_class,https://www.ted.com/talks/j_d_vance_america_s_forgotten_working_class?language=ko,2016-11-02 02:20:42
sebastian_kraves_the_era_of_personal_dna_testing_is_here,https://www.ted.com/talks/sebastian_kraves_the_era_of_personal_dna_testing_is_here?language=ko,2016-11-02 02:20:45
nadia_lopez_why_open_a_school_to_close_a_prison,https://www.ted.com/talks/nadia_lopez_why_open_a_school_to_close_a_prison?language=ko,2016-11-02 02:20:48
david_burkus_why_you_should_know_how_much_your_coworkers_get_paid,https://www.ted.com/talks/david_burkus_why_you_should_know_how_much_your_coworkers_get_paid?language=ko,2016-11-02 02:20:51
eric_liu_there_s_no_such_thing_as_not_voting,https://www.ted.com/talks/eric_liu_there_s_no_such_thing_as_not_voting?language=ko,2016-11-02 02:20:54
michael_murphy_architecture_that_s_built_to_heal,https://www.ted.com/talks/michael_murphy_architecture_that_s_built_to_heal?language=ko,2016-11-02 02:20:57
franz_freudenthal_a_new_way_to_heal_hearts_without_surgery,https://www.ted.com/talks/franz_freudenthal_a_new_way_to_heal_hearts_without_surgery?language=ko,2016-11-02 02:21:00
david_camarillo_why_helmets_don_t_prevent_concussions_and_what_might,https://www.ted.com/talks/david_camarillo_why_helmets_don_t_prevent_concussions_and_what_might?language=ko,2016-11-02 02:21:03
courtney_martin_the_new_american_dream,https://www.ted.com/talks/courtney_martin_the_new_american_dream?language=ko,2016-11-02 02:21:06
sal_khan_let_s_teach_for_mastery_not_test_scores,https://www.ted.com/talks/sal_khan_let_s_teach_for_mastery_not_test_scores?language=ko,2016-11-02 02:21:09
james_veitch_the_agony_of_trying_to_unsubscribe,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe?language=ko,2016-11-02 02:21:12
jonathan_tepperman_the_risky_politics_of_progress,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=ko,2016-11-02 02:21:15
christopher_bell_bring_on_the_female_superheroes,https://www.ted.com/talks/christopher_bell_bring_on_the_female_superheroes?language=ko,2016-11-02 02:21:18
julia_bacha_how_women_wage_conflict_without_violence,https://www.ted.com/talks/julia_bacha_how_women_wage_conflict_without_violence?language=ko,2016-11-02 02:21:21
vanessa_ruiz_the_spellbinding_art_of_human_anatomy,https://www.ted.com/talks/vanessa_ruiz_the_spellbinding_art_of_human_anatomy?language=ko,2016-11-02 02:21:24
laura_boushnak_the_deadly_legacy_of_cluster_bombs,https://www.ted.com/talks/laura_boushnak_the_deadly_legacy_of_cluster_bombs?language=ko,2016-11-02 02:21:27
olivier_scalabre_the_next_manufacturing_revolution_is_here,https://www.ted.com/talks/olivier_scalabre_the_next_manufacturing_revolution_is_here?language=ko,2016-11-02 02:21:30
gonzalo_vilarino_how_argentina_s_blind_soccer_team_became_champions,https://www.ted.com/talks/gonzalo_vilarino_how_argentina_s_blind_soccer_team_became_champions?language=ko,2016-11-02 02:21:33
anand_giridharadas_a_letter_to_all_who_have_lost_in_this_era,https://www.ted.com/talks/anand_giridharadas_a_letter_to_all_who_have_lost_in_this_era?language=ko,2016-11-02 02:21:36
sarah_parcak_hunting_for_peru_s_lost_civilizations_with_satellites,https://www.ted.com/talks/sarah_parcak_hunting_for_peru_s_lost_civilizations_with_satellites?language=ko,2016-11-02 02:21:39
